aX,aY,aZ,gX,gY,gZ
-0.025,0.990,-0.249,287.354,-21.606,-136.230
-0.060,0.677,-0.154,225.769,-49.500,-138.428
-0.179,0.146,0.125,93.323,-52.063,-104.187
-0.101,-0.142,0.468,-73.242,-21.545,-29.114
-0.081,-0.214,0.861,-193.115,3.662,36.499
0.062,-0.201,1.119,-230.225,5.920,66.162
0.246,-0.095,1.237,-189.514,-1.587,60.364
0.365,0.159,1.094,-101.807,-11.658,33.691
0.349,0.490,0.829,-10.864,-19.897,2.625
0.302,0.665,0.657,51.208,-22.766,-20.386
0.286,0.648,0.537,68.542,-19.714,-31.433
0.199,0.462,0.529,41.870,-11.292,-27.161
0.163,0.240,0.649,-4.150,-4.517,-12.817
0.217,0.100,0.848,-39.917,-5.554,0.549
0.251,0.082,1.010,-48.096,-9.460,6.653
0.242,0.197,1.047,-34.607,-12.512,6.226
0.266,0.360,0.994,-13.245,-17.273,0.977
0.212,0.469,0.944,3.906,-12.878,-5.615
0.188,0.433,0.857,3.540,-10.742,-7.141
0.207,0.333,0.826,-4.944,-2.563,-4.211
0.294,0.256,0.876,-8.057,-6.775,-2.808
0.413,0.190,0.933,0.183,-10.620,-5.981
0.447,0.120,0.988,3.357,-10.925,-8.545
0.438,0.095,0.966,-0.183,-12.512,-4.639
0.390,0.086,0.940,-0.977,-9.888,-2.563
0.397,0.090,0.962,0.488,-11.841,-1.709
0.470,0.095,0.997,-0.061,-12.085,-1.404
0.510,0.074,1.062,-0.305,-8.301,-1.465
0.514,0.036,1.131,-0.305,-3.540,0.488
0.527,0.038,1.129,4.517,-1.282,2.380
0.488,0.074,1.077,15.930,1.282,1.526
0.385,0.071,0.985,23.926,3.784,-0.305
0.348,0.036,0.903,23.743,1.465,0.305
0.329,0.018,0.879,21.240,-0.183,3.357
0.320,0.068,0.899,17.273,-1.648,7.385
