aX,aY,aZ,gX,gY,gZ
0.199,0.257,-1.113,-52.002,289.001,68.542
0.243,0.311,-1.147,-51.758,264.771,65.063
0.268,0.329,-1.126,-44.983,240.173,60.059
0.274,0.341,-1.141,-35.583,221.375,52.002
0.303,0.348,-1.178,-24.109,204.468,39.551
0.353,0.309,-1.258,-13.306,187.988,25.146
0.371,0.254,-1.300,-1.953,168.091,16.052
0.352,0.199,-1.272,2.380,145.996,14.771
0.349,0.189,-1.250,-3.784,129.517,16.907
0.328,0.229,-1.262,-18.066,110.413,17.395
0.322,0.281,-1.287,-28.259,91.248,17.700
0.338,0.310,-1.289,-25.513,80.261,17.517
0.364,0.305,-1.273,-18.188,71.045,14.771
0.451,0.293,-1.239,-12.817,57.983,11.047
0.523,0.269,-1.209,-8.789,49.072,5.432
0.554,0.229,-1.178,-8.667,35.583,-0.244
0.563,0.201,-1.108,-8.423,23.437,-3.357
0.558,0.180,-1.035,-9.705,14.587,-4.822
0.540,0.181,-0.968,-13.794,6.653,-5.005
0.537,0.177,-0.905,-16.357,0.061,-2.991
0.518,0.209,-0.841,-16.174,0.610,-2.625
0.550,0.201,-0.803,-13.367,2.075,-0.244
0.587,0.207,-0.764,-9.644,4.578,2.197
0.618,0.209,-0.745,-6.958,6.653,2.686
0.635,0.201,-0.748,-5.493,7.324,1.892
0.649,0.193,-0.754,-3.113,8.301,-0.183
0.664,0.172,-0.760,-0.061,7.385,-1.221
0.656,0.152,-0.744,0.732,5.249,-1.221
0.642,0.153,-0.726,-1.648,2.991,-0.427
0.616,0.171,-0.712,-5.432,1.587,1.526
0.590,0.194,-0.706,-8.240,1.343,4.333
0.573,0.215,-0.707,-9.277,2.197,6.653
0.564,0.229,-0.721,-8.911,3.357,7.935
0.566,0.255,-0.723,-6.653,5.737,8.545
0.573,0.277,-0.730,-3.906,6.287,8.606
0.578,0.288,-0.746,-1.831,6.653,6.897
0.591,0.290,-0.761,1.038,6.470,4.517
0.605,0.283,-0.770,4.944,5.920,2.502
0.613,0.260,-0.769,5.798,3.540,0.000
0.623,0.241,-0.758,5.859,1.770,-0.671
0.629,0.237,-0.755,2.930,-1.099,-0.427
0.619,0.242,-0.755,-1.099,-3.479,0.183
0.605,0.257,-0.743,-4.395,-6.226,0.671
0.600,0.271,-0.721,-4.272,-5.493,0.732
0.594,0.275,-0.707,-4.211,-6.775,0.977
